DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
5,VET,1.0,1.0,4.0,17236,SOFT,True,0 days 00:01:17.964000
5,VET,2.0,1.0,5.0,21545,SOFT,True,0 days 00:01:14.104000
5,VET,3.0,1.0,6.0,25854,SOFT,True,0 days 00:01:13.454000
5,VET,4.0,1.0,7.0,30163,SOFT,True,0 days 00:01:13.785000
5,VET,5.0,1.0,8.0,34472,SOFT,True,0 days 00:01:13.676000
5,VET,6.0,1.0,9.0,38781,SOFT,True,0 days 00:01:13.579000
5,VET,7.0,1.0,10.0,43090,SOFT,True,0 days 00:01:13.810000
5,VET,8.0,1.0,11.0,47399,SOFT,True,0 days 00:01:13.563000
5,VET,9.0,1.0,12.0,51708,SOFT,True,0 days 00:01:13.694000
5,VET,10.0,1.0,13.0,56017,SOFT,True,0 days 00:01:14.081000
5,VET,11.0,1.0,14.0,60326,SOFT,True,0 days 00:01:13.745000
5,VET,12.0,1.0,15.0,64635,SOFT,True,0 days 00:01:13.731000
5,VET,13.0,1.0,16.0,68944,SOFT,True,0 days 00:01:13.862000
5,VET,14.0,1.0,17.0,73253,SOFT,True,0 days 00:01:13.913000
5,VET,15.0,1.0,18.0,77562,SOFT,True,0 days 00:01:14.058000
5,VET,16.0,1.0,19.0,81871,SOFT,True,0 days 00:01:13.913000
5,VET,17.0,1.0,20.0,86180,SOFT,True,0 days 00:01:14.049000
5,VET,18.0,1.0,21.0,90489,SOFT,True,0 days 00:01:14.129000
5,VET,19.0,1.0,22.0,94798,SOFT,True,0 days 00:01:14.083000
5,VET,20.0,1.0,23.0,99107,SOFT,True,0 days 00:01:14.245000
5,VET,21.0,1.0,24.0,103416,SOFT,True,0 days 00:01:13.963000
5,VET,22.0,1.0,25.0,107725,SOFT,True,0 days 00:01:14.224000
5,VET,23.0,1.0,26.0,112034,SOFT,True,0 days 00:01:14.554000
5,VET,24.0,1.0,27.0,116343,SOFT,True,0 days 00:01:14.692000
5,VET,25.0,1.0,28.0,120652,SOFT,True,0 days 00:01:18.591000
5,VET,26.0,2.0,1.0,4309,MEDIUM,True,0 days 00:01:30.348000
5,VET,27.0,2.0,2.0,8618,MEDIUM,True,0 days 00:01:13.197000
5,VET,28.0,2.0,3.0,12927,MEDIUM,True,0 days 00:01:12.259000
5,VET,29.0,2.0,4.0,17236,MEDIUM,True,0 days 00:01:12.435000
5,VET,30.0,2.0,5.0,21545,MEDIUM,True,0 days 00:01:12.560000
5,VET,31.0,2.0,6.0,25854,MEDIUM,True,0 days 00:01:12.631000
5,VET,32.0,2.0,7.0,30163,MEDIUM,True,0 days 00:01:12.347000
5,VET,33.0,2.0,8.0,34472,MEDIUM,True,0 days 00:01:12.509000
5,VET,34.0,2.0,9.0,38781,MEDIUM,True,0 days 00:01:12.673000
5,VET,35.0,2.0,10.0,43090,MEDIUM,True,0 days 00:01:12.930000
5,VET,36.0,2.0,11.0,47399,MEDIUM,True,0 days 00:01:12.937000
5,VET,37.0,2.0,12.0,51708,MEDIUM,True,0 days 00:01:12.557000
5,VET,38.0,2.0,13.0,56017,MEDIUM,True,0 days 00:01:12.494000
5,VET,39.0,2.0,14.0,60326,MEDIUM,True,0 days 00:01:12.866000
5,VET,40.0,2.0,15.0,64635,MEDIUM,True,0 days 00:01:13.364000
5,VET,41.0,2.0,16.0,68944,MEDIUM,True,0 days 00:01:12.709000
5,VET,42.0,2.0,17.0,73253,MEDIUM,True,0 days 00:01:12.422000
5,VET,43.0,2.0,18.0,77562,MEDIUM,True,0 days 00:01:12.428000
5,VET,44.0,2.0,19.0,81871,MEDIUM,True,0 days 00:01:12.727000
5,VET,45.0,2.0,20.0,86180,MEDIUM,True,0 days 00:01:12.998000
5,VET,46.0,2.0,21.0,90489,MEDIUM,True,0 days 00:01:12.701000
5,VET,47.0,2.0,22.0,94798,MEDIUM,True,0 days 00:01:13.001000
5,VET,48.0,2.0,23.0,99107,MEDIUM,True,0 days 00:01:13.172000
5,VET,49.0,2.0,24.0,103416,MEDIUM,True,0 days 00:01:17.471000
5,VET,50.0,3.0,3.0,12927,SOFT,True,0 days 00:01:29.867000
5,VET,51.0,3.0,4.0,17236,SOFT,True,0 days 00:01:11.384000
5,VET,52.0,3.0,5.0,21545,SOFT,True,0 days 00:01:11.970000
5,VET,53.0,3.0,6.0,25854,SOFT,True,0 days 00:01:12.325000
5,VET,54.0,3.0,7.0,30163,SOFT,True,0 days 00:01:36.102000
5,VET,55.0,3.0,8.0,34472,SOFT,True,0 days 00:01:41.212000
5,VET,56.0,3.0,9.0,38781,SOFT,True,0 days 00:01:48.723000
5,VET,57.0,3.0,10.0,43090,SOFT,True,0 days 00:01:51.431000
5,VET,58.0,3.0,11.0,47399,SOFT,True,0 days 00:01:47.898000
5,VET,59.0,3.0,12.0,51708,SOFT,True,0 days 00:01:56.219000
5,VET,60.0,3.0,13.0,56017,SOFT,True,0 days 00:01:13.982000
5,VET,61.0,3.0,14.0,60326,SOFT,True,0 days 00:01:11.990000
5,VET,62.0,3.0,15.0,64635,SOFT,True,0 days 00:01:11.633000
5,VET,63.0,3.0,16.0,68944,SOFT,True,0 days 00:01:11.419000
5,VET,64.0,3.0,17.0,73253,SOFT,True,0 days 00:01:12.106000
5,VET,65.0,3.0,18.0,77562,SOFT,True,0 days 00:01:11.888000
5,VET,66.0,3.0,19.0,81871,SOFT,True,
