Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
31,1.0,,,0,nan,True,0 days 00:01:42.078000
31,2.0,1.0,4.0,21648,SUPERSOFT,False,0 days 00:01:46.582000
31,3.0,1.0,5.0,27060,SUPERSOFT,False,0 days 00:02:09.505000
31,4.0,1.0,6.0,32472,SUPERSOFT,False,0 days 00:01:56.201000
31,5.0,1.0,7.0,37884,SUPERSOFT,False,0 days 00:01:39.566000
31,6.0,1.0,8.0,43296,SUPERSOFT,False,0 days 00:01:38.422000
31,7.0,1.0,9.0,48708,SUPERSOFT,False,0 days 00:01:37.666000
31,8.0,1.0,10.0,54120,SUPERSOFT,False,0 days 00:01:37.915000
31,9.0,1.0,11.0,59532,SUPERSOFT,False,0 days 00:01:37.908000
31,10.0,1.0,12.0,64944,SUPERSOFT,False,0 days 00:01:37.790000
31,11.0,1.0,13.0,70356,SUPERSOFT,False,0 days 00:01:37.979000
31,12.0,1.0,14.0,75768,SUPERSOFT,False,0 days 00:01:37.951000
31,13.0,1.0,15.0,81180,SUPERSOFT,False,0 days 00:01:38.140000
31,14.0,1.0,16.0,86592,SUPERSOFT,False,0 days 00:01:38.504000
31,15.0,1.0,17.0,92004,SUPERSOFT,False,0 days 00:01:40.991000
31,16.0,2.0,1.0,5412,MEDIUM,True,0 days 00:01:56.678000
31,17.0,2.0,2.0,10824,MEDIUM,True,0 days 00:01:36.366000
31,18.0,2.0,3.0,16236,MEDIUM,True,0 days 00:01:37.894000
31,19.0,2.0,4.0,21648,MEDIUM,True,0 days 00:01:37.935000
31,20.0,2.0,5.0,27060,MEDIUM,True,0 days 00:01:38.683000
31,21.0,2.0,6.0,32472,MEDIUM,True,0 days 00:01:37.027000
31,22.0,2.0,7.0,37884,MEDIUM,True,0 days 00:01:36.886000
31,23.0,2.0,8.0,43296,MEDIUM,True,0 days 00:01:37.287000
31,24.0,2.0,9.0,48708,MEDIUM,True,0 days 00:01:37.167000
31,25.0,2.0,10.0,54120,MEDIUM,True,0 days 00:01:37.351000
31,26.0,2.0,11.0,59532,MEDIUM,True,0 days 00:01:37.559000
31,27.0,2.0,12.0,64944,MEDIUM,True,0 days 00:01:37.236000
31,28.0,2.0,13.0,70356,MEDIUM,True,0 days 00:01:37.491000
31,29.0,2.0,14.0,75768,MEDIUM,True,0 days 00:01:36.988000
31,30.0,2.0,15.0,81180,MEDIUM,True,0 days 00:01:37.182000
31,31.0,2.0,16.0,86592,MEDIUM,True,0 days 00:01:37.013000
31,32.0,2.0,17.0,92004,MEDIUM,True,0 days 00:01:37.595000
31,33.0,2.0,18.0,97416,MEDIUM,True,0 days 00:01:37.049000
31,34.0,2.0,19.0,102828,MEDIUM,True,0 days 00:01:37.218000
31,35.0,2.0,20.0,108240,MEDIUM,True,0 days 00:01:40.968000
31,36.0,3.0,1.0,5412,SOFT,True,0 days 00:01:55.134000
31,37.0,3.0,2.0,10824,SOFT,True,0 days 00:01:35.196000
31,38.0,3.0,3.0,16236,SOFT,True,0 days 00:01:35.043000
31,39.0,3.0,4.0,21648,SOFT,True,0 days 00:01:35.480000
31,40.0,3.0,5.0,27060,SOFT,True,0 days 00:01:35.714000
31,41.0,3.0,6.0,32472,SOFT,True,0 days 00:01:35.986000
31,42.0,3.0,7.0,37884,SOFT,True,0 days 00:01:36.073000
31,43.0,3.0,8.0,43296,SOFT,True,0 days 00:01:35.965000
31,44.0,3.0,9.0,48708,SOFT,True,0 days 00:01:36.313000
31,45.0,3.0,10.0,54120,SOFT,True,0 days 00:01:36.054000
31,46.0,3.0,11.0,59532,SOFT,True,0 days 00:01:35.934000
31,47.0,3.0,12.0,64944,SOFT,True,0 days 00:01:36.176000
31,48.0,3.0,13.0,70356,SOFT,True,0 days 00:01:37.723000
31,49.0,3.0,14.0,75768,SOFT,True,0 days 00:01:36.111000
31,50.0,3.0,15.0,81180,SOFT,True,0 days 00:01:36.399000
31,51.0,3.0,16.0,86592,SOFT,True,0 days 00:01:36.351000
31,52.0,3.0,17.0,92004,SOFT,True,0 days 00:01:36.513000
31,53.0,3.0,18.0,97416,SOFT,True,0 days 00:01:36.808000
31,54.0,3.0,19.0,102828,SOFT,True,0 days 00:01:35.475000
31,55.0,3.0,20.0,108240,SOFT,True,0 days 00:01:36.011000
31,56.0,3.0,21.0,113652,SOFT,True,0 days 00:01:36.455000
