DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
20,MAG,1.0,1.0,1.0,4574,WET,True,4574,0 days 00:01:52.305000
20,MAG,2.0,1.0,2.0,9148,WET,True,9148,0 days 00:01:47.111000
20,MAG,3.0,1.0,3.0,13722,WET,True,13722,0 days 00:01:56.586000
20,MAG,4.0,1.0,4.0,18296,WET,True,18296,0 days 00:02:09.203000
20,MAG,5.0,1.0,5.0,22870,WET,True,22870,0 days 00:01:38.574000
20,MAG,6.0,1.0,6.0,27444,WET,True,27444,0 days 00:01:38.274000
20,MAG,7.0,1.0,7.0,32018,WET,True,32018,0 days 00:01:37.792000
20,MAG,8.0,1.0,8.0,36592,WET,True,36592,0 days 00:01:43.334000
20,MAG,9.0,2.0,1.0,4574,INTERMEDIATE,True,41166,0 days 00:01:48.389000
20,MAG,10.0,2.0,2.0,9148,INTERMEDIATE,True,45740,0 days 00:01:31.814000
20,MAG,11.0,2.0,3.0,13722,INTERMEDIATE,True,50314,0 days 00:01:31.529000
20,MAG,12.0,2.0,4.0,18296,INTERMEDIATE,True,54888,0 days 00:01:31.803000
20,MAG,13.0,2.0,5.0,22870,INTERMEDIATE,True,59462,0 days 00:01:32.607000
20,MAG,14.0,2.0,6.0,27444,INTERMEDIATE,True,64036,0 days 00:01:33.531000
20,MAG,15.0,2.0,7.0,32018,INTERMEDIATE,True,68610,0 days 00:01:52.887000
20,MAG,16.0,2.0,8.0,36592,INTERMEDIATE,True,73184,0 days 00:01:32.458000
20,MAG,17.0,2.0,9.0,41166,INTERMEDIATE,True,77758,0 days 00:01:33.053000
20,MAG,18.0,2.0,10.0,45740,INTERMEDIATE,True,82332,0 days 00:01:34.048000
20,MAG,19.0,2.0,11.0,50314,INTERMEDIATE,True,86906,0 days 00:01:35.465000
20,MAG,20.0,2.0,12.0,54888,INTERMEDIATE,True,91480,0 days 00:01:36.257000
20,MAG,21.0,2.0,13.0,59462,INTERMEDIATE,True,96054,0 days 00:01:39.356000
20,MAG,22.0,3.0,1.0,4574,SOFT,True,100628,0 days 00:01:53.273000
20,MAG,23.0,3.0,2.0,9148,SOFT,True,105202,0 days 00:01:32.279000
20,MAG,24.0,3.0,3.0,13722,SOFT,True,109776,0 days 00:01:31.378000
20,MAG,25.0,3.0,4.0,18296,SOFT,True,114350,0 days 00:01:33.552000
20,MAG,26.0,3.0,5.0,22870,SOFT,True,118924,0 days 00:01:33.501000
20,MAG,27.0,3.0,6.0,27444,SOFT,True,123498,0 days 00:01:59.685000
20,MAG,28.0,3.0,7.0,32018,SOFT,True,128072,0 days 00:02:02.104000
20,MAG,29.0,3.0,8.0,36592,SOFT,True,132646,0 days 00:02:02.263000
20,MAG,30.0,4.0,1.0,4574,INTERMEDIATE,True,137220,0 days 00:01:54.670000
20,MAG,31.0,4.0,2.0,9148,INTERMEDIATE,True,141794,0 days 00:01:34.964000
20,MAG,32.0,4.0,3.0,13722,INTERMEDIATE,True,146368,0 days 00:01:49.177000
20,MAG,33.0,4.0,4.0,18296,INTERMEDIATE,True,150942,0 days 00:02:09.348000
20,MAG,34.0,4.0,5.0,22870,INTERMEDIATE,True,155516,0 days 00:01:36.709000
20,MAG,35.0,4.0,6.0,27444,INTERMEDIATE,True,160090,0 days 00:01:34.328000
20,MAG,36.0,4.0,7.0,32018,INTERMEDIATE,True,164664,0 days 00:01:33.089000
20,MAG,37.0,4.0,8.0,36592,INTERMEDIATE,True,169238,0 days 00:01:31.393000
20,MAG,38.0,4.0,9.0,41166,INTERMEDIATE,True,173812,0 days 00:01:31
20,MAG,39.0,4.0,10.0,45740,INTERMEDIATE,True,178386,0 days 00:01:31.225000
20,MAG,40.0,4.0,11.0,50314,INTERMEDIATE,True,182960,0 days 00:01:34.390000
