DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
23,ALB,1.0,1.0,1.0,5848,MEDIUM,True,0 days 00:02:31.820000
23,ALB,2.0,1.0,2.0,11696,MEDIUM,True,
23,ALB,3.0,1.0,3.0,17544,MEDIUM,True,
23,ALB,4.0,1.0,4.0,23392,MEDIUM,True,0 days 00:01:42.745000
23,ALB,5.0,1.0,5.0,29240,MEDIUM,True,0 days 00:01:44.255000
23,ALB,6.0,1.0,6.0,35088,MEDIUM,True,0 days 00:01:43.272000
23,ALB,7.0,1.0,7.0,40936,MEDIUM,True,0 days 00:01:43.486000
23,ALB,8.0,1.0,8.0,46784,MEDIUM,True,0 days 00:01:42.190000
23,ALB,9.0,1.0,9.0,52632,MEDIUM,True,0 days 00:01:42.066000
23,ALB,10.0,1.0,10.0,58480,MEDIUM,True,0 days 00:01:41.372000
23,ALB,11.0,1.0,11.0,64328,MEDIUM,True,0 days 00:01:41.681000
23,ALB,12.0,1.0,12.0,70176,MEDIUM,True,0 days 00:01:42.087000
23,ALB,13.0,1.0,13.0,76024,MEDIUM,True,0 days 00:01:41.677000
23,ALB,14.0,1.0,14.0,81872,MEDIUM,True,0 days 00:01:41.967000
23,ALB,15.0,1.0,15.0,87720,MEDIUM,True,0 days 00:01:41.376000
23,ALB,16.0,1.0,16.0,93568,MEDIUM,True,0 days 00:01:41.860000
23,ALB,17.0,1.0,17.0,99416,MEDIUM,True,0 days 00:01:40.598000
23,ALB,18.0,1.0,18.0,105264,MEDIUM,True,0 days 00:01:41.239000
23,ALB,19.0,1.0,19.0,111112,MEDIUM,True,0 days 00:01:41.765000
23,ALB,20.0,1.0,20.0,116960,MEDIUM,True,0 days 00:01:41.326000
23,ALB,21.0,1.0,21.0,122808,MEDIUM,True,0 days 00:01:40.723000
23,ALB,22.0,1.0,22.0,128656,MEDIUM,True,0 days 00:01:40.538000
23,ALB,23.0,1.0,23.0,134504,MEDIUM,True,0 days 00:01:41.481000
23,ALB,24.0,1.0,24.0,140352,MEDIUM,True,0 days 00:01:40.983000
23,ALB,25.0,1.0,25.0,146200,MEDIUM,True,0 days 00:01:40.262000
23,ALB,26.0,1.0,26.0,152048,MEDIUM,True,0 days 00:01:39.942000
23,ALB,27.0,1.0,27.0,157896,MEDIUM,True,0 days 00:01:48.608000
23,ALB,28.0,1.0,28.0,163744,MEDIUM,True,0 days 00:02:10.201000
23,ALB,29.0,1.0,29.0,169592,MEDIUM,True,0 days 00:02:10.932000
23,ALB,30.0,2.0,1.0,5848,SOFT,True,
23,ALB,31.0,2.0,2.0,11696,SOFT,True,0 days 00:01:49.590000
23,ALB,32.0,2.0,3.0,17544,SOFT,True,
23,ALB,33.0,2.0,4.0,23392,SOFT,True,0 days 00:01:40.408000
23,ALB,34.0,2.0,5.0,29240,SOFT,True,0 days 00:01:40.214000
23,ALB,35.0,2.0,6.0,35088,SOFT,True,0 days 00:01:40.505000
23,ALB,36.0,2.0,7.0,40936,SOFT,True,0 days 00:01:39.167000
23,ALB,37.0,2.0,8.0,46784,SOFT,True,0 days 00:01:39.052000
23,ALB,38.0,2.0,9.0,52632,SOFT,True,0 days 00:01:38.716000
23,ALB,39.0,2.0,10.0,58480,SOFT,True,0 days 00:01:38.354000
23,ALB,40.0,2.0,11.0,64328,SOFT,True,0 days 00:01:38.694000
23,ALB,41.0,2.0,12.0,70176,SOFT,True,0 days 00:01:41.401000
23,ALB,42.0,2.0,13.0,76024,SOFT,True,0 days 00:01:38.073000
23,ALB,43.0,2.0,14.0,81872,SOFT,True,0 days 00:01:37.937000
23,ALB,44.0,2.0,15.0,87720,SOFT,True,0 days 00:01:37.534000
23,ALB,45.0,2.0,16.0,93568,SOFT,True,0 days 00:01:37.491000
23,ALB,46.0,2.0,17.0,99416,SOFT,True,0 days 00:01:37.957000
23,ALB,47.0,2.0,18.0,105264,SOFT,True,0 days 00:01:38.304000
23,ALB,48.0,2.0,19.0,111112,SOFT,True,0 days 00:01:37.609000
23,ALB,49.0,2.0,20.0,116960,SOFT,True,0 days 00:01:37.185000
23,ALB,50.0,2.0,21.0,122808,SOFT,True,0 days 00:01:36.762000
23,ALB,51.0,2.0,22.0,128656,SOFT,True,0 days 00:01:38.179000
23,ALB,52.0,2.0,23.0,134504,SOFT,True,0 days 00:01:37.663000
23,ALB,53.0,2.0,24.0,140352,SOFT,True,0 days 00:01:37.309000
