Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
33,1.0,,,0,nan,True,0 days 00:01:51.041000
33,2.0,1.0,4.0,23172,SUPERSOFT,False,0 days 00:02:16.204000
33,3.0,1.0,5.0,28965,SUPERSOFT,False,0 days 00:02:07.530000
33,4.0,1.0,6.0,34758,SUPERSOFT,False,0 days 00:01:26.555000
33,5.0,1.0,7.0,40551,SUPERSOFT,False,0 days 00:01:25.615000
33,6.0,1.0,8.0,46344,SUPERSOFT,False,0 days 00:01:25.475000
33,7.0,1.0,9.0,52137,SUPERSOFT,False,0 days 00:01:25.116000
33,8.0,1.0,10.0,57930,SUPERSOFT,False,0 days 00:01:24.976000
33,9.0,1.0,11.0,63723,SUPERSOFT,False,0 days 00:01:25.145000
33,10.0,1.0,12.0,69516,SUPERSOFT,False,0 days 00:01:25.040000
33,11.0,1.0,13.0,75309,SUPERSOFT,False,0 days 00:01:25.295000
33,12.0,1.0,14.0,81102,SUPERSOFT,False,0 days 00:01:25.189000
33,13.0,1.0,15.0,86895,SUPERSOFT,False,0 days 00:01:25.210000
33,14.0,1.0,16.0,92688,SUPERSOFT,False,0 days 00:01:25.135000
33,15.0,1.0,17.0,98481,SUPERSOFT,False,0 days 00:01:25.080000
33,16.0,1.0,18.0,104274,SUPERSOFT,False,0 days 00:01:24.966000
33,17.0,1.0,19.0,110067,SUPERSOFT,False,0 days 00:01:24.904000
33,18.0,1.0,20.0,115860,SUPERSOFT,False,0 days 00:01:24.980000
33,19.0,1.0,21.0,121653,SUPERSOFT,False,0 days 00:01:25.159000
33,20.0,1.0,22.0,127446,SUPERSOFT,False,0 days 00:01:25.356000
33,21.0,1.0,23.0,133239,SUPERSOFT,False,0 days 00:01:25.027000
33,22.0,1.0,24.0,139032,SUPERSOFT,False,0 days 00:01:25.310000
33,23.0,1.0,25.0,144825,SUPERSOFT,False,0 days 00:01:25.021000
33,24.0,1.0,26.0,150618,SUPERSOFT,False,0 days 00:01:25.018000
33,25.0,1.0,27.0,156411,SUPERSOFT,False,0 days 00:01:25.718000
33,26.0,1.0,28.0,162204,SUPERSOFT,False,0 days 00:01:29.839000
33,27.0,2.0,1.0,5793,SOFT,True,0 days 00:01:43.711000
33,28.0,2.0,2.0,11586,SOFT,True,0 days 00:01:23.930000
33,29.0,2.0,3.0,17379,SOFT,True,0 days 00:01:23.682000
33,30.0,2.0,4.0,23172,SOFT,True,0 days 00:01:24.414000
33,31.0,2.0,5.0,28965,SOFT,True,0 days 00:01:24.174000
33,32.0,2.0,6.0,34758,SOFT,True,0 days 00:01:24.058000
33,33.0,2.0,7.0,40551,SOFT,True,0 days 00:01:24.266000
33,34.0,2.0,8.0,46344,SOFT,True,0 days 00:01:24.103000
33,35.0,2.0,9.0,52137,SOFT,True,0 days 00:01:24.242000
33,36.0,2.0,10.0,57930,SOFT,True,0 days 00:01:23.888000
33,37.0,2.0,11.0,63723,SOFT,True,0 days 00:01:24.084000
33,38.0,2.0,12.0,69516,SOFT,True,0 days 00:01:23.781000
33,39.0,2.0,13.0,75309,SOFT,True,0 days 00:01:23.633000
33,40.0,2.0,14.0,81102,SOFT,True,0 days 00:01:23.691000
33,41.0,2.0,15.0,86895,SOFT,True,0 days 00:01:23.609000
33,42.0,2.0,16.0,92688,SOFT,True,0 days 00:01:24.171000
33,43.0,2.0,17.0,98481,SOFT,True,0 days 00:01:24.083000
33,44.0,2.0,18.0,104274,SOFT,True,0 days 00:01:23.762000
33,45.0,2.0,19.0,110067,SOFT,True,0 days 00:01:24.774000
33,46.0,2.0,20.0,115860,SOFT,True,0 days 00:01:24.297000
33,47.0,2.0,21.0,121653,SOFT,True,0 days 00:01:23.927000
33,48.0,2.0,22.0,127446,SOFT,True,0 days 00:01:23.982000
33,49.0,2.0,23.0,133239,SOFT,True,0 days 00:01:24.337000
33,50.0,2.0,24.0,139032,SOFT,True,0 days 00:01:23.705000
33,51.0,2.0,25.0,144825,SOFT,True,0 days 00:01:23.767000
33,52.0,2.0,26.0,150618,SOFT,True,0 days 00:01:23.836000
33,53.0,2.0,27.0,156411,SOFT,True,0 days 00:01:23.881000
