Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
27,1.0,,,0,nan,True,0 days 00:01:17.932000
27,2.0,1.0,4.0,17272,ULTRASOFT,False,0 days 00:01:12.267000
27,3.0,1.0,5.0,21590,ULTRASOFT,False,0 days 00:01:11.460000
27,4.0,1.0,6.0,25908,ULTRASOFT,False,0 days 00:01:10.707000
27,5.0,1.0,7.0,30226,ULTRASOFT,False,0 days 00:01:10.757000
27,6.0,1.0,8.0,34544,ULTRASOFT,False,0 days 00:01:10.728000
27,7.0,1.0,9.0,38862,ULTRASOFT,False,0 days 00:01:10.380000
27,8.0,1.0,10.0,43180,ULTRASOFT,False,0 days 00:01:10.631000
27,9.0,1.0,11.0,47498,ULTRASOFT,False,0 days 00:01:10.386000
27,10.0,1.0,12.0,51816,ULTRASOFT,False,0 days 00:01:10.579000
27,11.0,1.0,13.0,56134,ULTRASOFT,False,0 days 00:01:14.107000
27,12.0,1.0,14.0,60452,ULTRASOFT,False,
