DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
8,GRO,1.0,1.0,1.0,5513,MEDIUM,True,0 days 00:01:50.931000
8,GRO,2.0,1.0,2.0,11026,MEDIUM,True,0 days 00:01:44.594000
8,GRO,3.0,1.0,3.0,16539,MEDIUM,True,0 days 00:01:43.884000
8,GRO,4.0,1.0,4.0,22052,MEDIUM,True,0 days 00:01:44.728000
8,GRO,5.0,1.0,5.0,27565,MEDIUM,True,0 days 00:01:43.759000
8,GRO,6.0,1.0,6.0,33078,MEDIUM,True,0 days 00:01:43.218000
8,GRO,7.0,1.0,7.0,38591,MEDIUM,True,0 days 00:01:44.157000
8,GRO,8.0,1.0,8.0,44104,MEDIUM,True,0 days 00:01:43.737000
8,GRO,9.0,1.0,9.0,49617,MEDIUM,True,0 days 00:01:44.083000
8,GRO,10.0,1.0,10.0,55130,MEDIUM,True,0 days 00:01:44.421000
8,GRO,11.0,1.0,11.0,60643,MEDIUM,True,0 days 00:01:44.367000
8,GRO,12.0,1.0,12.0,66156,MEDIUM,True,0 days 00:01:43.789000
8,GRO,13.0,1.0,13.0,71669,MEDIUM,True,0 days 00:01:45.021000
8,GRO,14.0,1.0,14.0,77182,MEDIUM,True,0 days 00:01:45.248000
8,GRO,15.0,1.0,15.0,82695,MEDIUM,True,0 days 00:01:44.336000
8,GRO,16.0,1.0,16.0,88208,MEDIUM,True,0 days 00:01:43.906000
8,GRO,17.0,1.0,17.0,93721,MEDIUM,True,0 days 00:01:43.519000
8,GRO,18.0,1.0,18.0,99234,MEDIUM,True,0 days 00:01:43.337000
8,GRO,19.0,1.0,19.0,104747,MEDIUM,True,0 days 00:01:44.767000
8,GRO,20.0,1.0,20.0,110260,MEDIUM,True,0 days 00:01:46.845000
8,GRO,21.0,1.0,21.0,115773,MEDIUM,True,0 days 00:01:44.760000
8,GRO,22.0,1.0,22.0,121286,MEDIUM,True,0 days 00:01:45.700000
8,GRO,23.0,1.0,23.0,126799,MEDIUM,True,0 days 00:01:45.555000
8,GRO,24.0,1.0,24.0,132312,MEDIUM,True,0 days 00:01:47.845000
8,GRO,25.0,2.0,2.0,11026,HARD,False,0 days 00:02:05.256000
8,GRO,26.0,2.0,3.0,16539,HARD,False,0 days 00:01:41.770000
8,GRO,27.0,2.0,4.0,22052,HARD,False,0 days 00:01:42.120000
8,GRO,28.0,2.0,5.0,27565,HARD,False,0 days 00:01:41.432000
8,GRO,29.0,2.0,6.0,33078,HARD,False,0 days 00:01:43.942000
8,GRO,30.0,2.0,7.0,38591,HARD,False,0 days 00:01:41.905000
8,GRO,31.0,2.0,8.0,44104,HARD,False,0 days 00:01:41.963000
8,GRO,32.0,2.0,9.0,49617,HARD,False,0 days 00:01:42.228000
8,GRO,33.0,2.0,10.0,55130,HARD,False,0 days 00:01:42.107000
8,GRO,34.0,2.0,11.0,60643,HARD,False,0 days 00:01:43.931000
8,GRO,35.0,2.0,12.0,66156,HARD,False,0 days 00:01:42.189000
8,GRO,36.0,2.0,13.0,71669,HARD,False,0 days 00:01:42.060000
8,GRO,37.0,2.0,14.0,77182,HARD,False,0 days 00:01:42.047000
8,GRO,38.0,2.0,15.0,82695,HARD,False,0 days 00:01:41.957000
8,GRO,39.0,2.0,16.0,88208,HARD,False,0 days 00:01:41.687000
8,GRO,40.0,2.0,17.0,93721,HARD,False,0 days 00:01:42.274000
8,GRO,41.0,2.0,18.0,99234,HARD,False,0 days 00:01:41.696000
8,GRO,42.0,2.0,19.0,104747,HARD,False,0 days 00:01:42.905000
8,GRO,43.0,2.0,20.0,110260,HARD,False,0 days 00:01:41.840000
8,GRO,44.0,2.0,21.0,115773,HARD,False,0 days 00:01:41.731000
8,GRO,45.0,2.0,22.0,121286,HARD,False,0 days 00:01:41.729000
8,GRO,46.0,2.0,23.0,126799,HARD,False,0 days 00:01:41.735000
8,GRO,47.0,2.0,24.0,132312,HARD,False,0 days 00:01:41.669000
8,GRO,48.0,2.0,25.0,137825,HARD,False,0 days 00:01:41.360000
8,GRO,49.0,2.0,26.0,143338,HARD,False,0 days 00:01:41.652000
8,GRO,50.0,2.0,27.0,148851,HARD,False,0 days 00:01:43.900000
8,GRO,51.0,2.0,28.0,154364,HARD,False,0 days 00:01:41.565000
8,GRO,52.0,2.0,29.0,159877,HARD,False,0 days 00:01:41.270000
8,GRO,53.0,2.0,30.0,165390,HARD,False,0 days 00:01:41.402000
8,GRO,54.0,2.0,31.0,170903,HARD,False,0 days 00:01:42.931000
8,GRO,55.0,2.0,32.0,176416,HARD,False,0 days 00:01:44.125000
