DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
27,HUL,1.0,1.0,1.0,5807,SOFT,True,5807,0 days 00:01:42.139000
27,HUL,2.0,1.0,2.0,11614,SOFT,True,11614,0 days 00:01:37.446000
27,HUL,3.0,1.0,3.0,17421,SOFT,True,17421,0 days 00:01:36.985000
27,HUL,4.0,1.0,4.0,23228,SOFT,True,23228,0 days 00:01:36.748000
27,HUL,5.0,1.0,5.0,29035,SOFT,True,29035,0 days 00:01:36.494000
27,HUL,6.0,1.0,6.0,34842,SOFT,True,34842,0 days 00:01:36.316000
27,HUL,7.0,1.0,7.0,40649,SOFT,True,40649,0 days 00:01:36.172000
27,HUL,8.0,1.0,8.0,46456,SOFT,True,46456,0 days 00:01:36.261000
27,HUL,9.0,1.0,9.0,52263,SOFT,True,52263,0 days 00:01:36.421000
27,HUL,10.0,1.0,10.0,58070,SOFT,True,58070,0 days 00:01:36.392000
27,HUL,11.0,1.0,11.0,63877,SOFT,True,63877,0 days 00:01:36.398000
27,HUL,12.0,1.0,12.0,69684,SOFT,True,69684,0 days 00:01:36.814000
27,HUL,13.0,1.0,13.0,75491,SOFT,True,75491,0 days 00:01:36.319000
27,HUL,14.0,1.0,14.0,81298,SOFT,True,81298,0 days 00:01:36.298000
27,HUL,15.0,1.0,15.0,87105,SOFT,True,87105,0 days 00:01:36.702000
27,HUL,16.0,1.0,16.0,92912,SOFT,True,92912,0 days 00:01:36.525000
27,HUL,17.0,1.0,17.0,98719,SOFT,True,98719,0 days 00:01:36.704000
27,HUL,18.0,1.0,18.0,104526,SOFT,True,104526,0 days 00:01:37.024000
27,HUL,19.0,1.0,19.0,110333,SOFT,True,110333,0 days 00:01:38.582000
27,HUL,20.0,2.0,1.0,5807,MEDIUM,True,116140,0 days 00:01:56.138000
27,HUL,21.0,2.0,2.0,11614,MEDIUM,True,121947,0 days 00:01:35.725000
27,HUL,22.0,2.0,3.0,17421,MEDIUM,True,127754,0 days 00:01:35.799000
27,HUL,23.0,2.0,4.0,23228,MEDIUM,True,133561,0 days 00:01:36.243000
27,HUL,24.0,2.0,5.0,29035,MEDIUM,True,139368,0 days 00:01:36.130000
27,HUL,25.0,2.0,6.0,34842,MEDIUM,True,145175,0 days 00:01:36.621000
27,HUL,26.0,2.0,7.0,40649,MEDIUM,True,150982,0 days 00:01:37.673000
27,HUL,27.0,2.0,8.0,46456,MEDIUM,True,156789,0 days 00:01:34.928000
27,HUL,28.0,2.0,9.0,52263,MEDIUM,True,162596,0 days 00:01:35.096000
27,HUL,29.0,2.0,10.0,58070,MEDIUM,True,168403,0 days 00:01:35.116000
27,HUL,30.0,2.0,11.0,63877,MEDIUM,True,174210,0 days 00:01:35.273000
27,HUL,31.0,2.0,12.0,69684,MEDIUM,True,180017,0 days 00:01:36.431000
27,HUL,32.0,2.0,13.0,75491,MEDIUM,True,185824,0 days 00:01:35.339000
27,HUL,33.0,2.0,14.0,81298,MEDIUM,True,191631,0 days 00:01:35.377000
27,HUL,34.0,2.0,15.0,87105,MEDIUM,True,197438,0 days 00:01:35.324000
27,HUL,35.0,2.0,16.0,92912,MEDIUM,True,203245,0 days 00:01:35.560000
27,HUL,36.0,2.0,17.0,98719,MEDIUM,True,209052,0 days 00:01:35.497000
27,HUL,37.0,2.0,18.0,104526,MEDIUM,True,214859,0 days 00:01:35.235000
27,HUL,38.0,2.0,19.0,110333,MEDIUM,True,220666,0 days 00:01:35.508000
27,HUL,39.0,2.0,20.0,116140,MEDIUM,True,226473,0 days 00:01:35.564000
27,HUL,40.0,2.0,21.0,121947,MEDIUM,True,232280,0 days 00:01:35.318000
27,HUL,41.0,2.0,22.0,127754,MEDIUM,True,238087,0 days 00:01:35.318000
27,HUL,42.0,2.0,23.0,133561,MEDIUM,True,243894,0 days 00:01:35.350000
27,HUL,43.0,2.0,24.0,139368,MEDIUM,True,249701,0 days 00:01:35.316000
27,HUL,44.0,2.0,25.0,145175,MEDIUM,True,255508,0 days 00:01:36.483000
27,HUL,45.0,2.0,26.0,150982,MEDIUM,True,261315,0 days 00:01:36.985000
27,HUL,46.0,2.0,27.0,156789,MEDIUM,True,267122,0 days 00:01:35.391000
27,HUL,47.0,2.0,28.0,162596,MEDIUM,True,272929,0 days 00:01:34.921000
27,HUL,48.0,2.0,29.0,168403,MEDIUM,True,278736,0 days 00:01:35.990000
27,HUL,49.0,2.0,30.0,174210,MEDIUM,True,284543,0 days 00:01:37.445000
27,HUL,50.0,2.0,31.0,180017,MEDIUM,True,290350,0 days 00:01:37.154000
27,HUL,51.0,2.0,32.0,185824,MEDIUM,True,296157,0 days 00:01:37.792000
27,HUL,52.0,2.0,33.0,191631,MEDIUM,True,301964,0 days 00:01:38.282000
