Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
27,1.0,1.0,1.0,5807,SOFT,True,0 days 00:01:42.139000
27,2.0,1.0,2.0,11614,SOFT,True,0 days 00:01:37.446000
27,3.0,1.0,3.0,17421,SOFT,True,0 days 00:01:36.985000
27,4.0,1.0,4.0,23228,SOFT,True,0 days 00:01:36.748000
27,5.0,1.0,5.0,29035,SOFT,True,0 days 00:01:36.494000
27,6.0,1.0,6.0,34842,SOFT,True,0 days 00:01:36.316000
27,7.0,1.0,7.0,40649,SOFT,True,0 days 00:01:36.172000
27,8.0,1.0,8.0,46456,SOFT,True,0 days 00:01:36.261000
27,9.0,1.0,9.0,52263,SOFT,True,0 days 00:01:36.421000
27,10.0,1.0,10.0,58070,SOFT,True,0 days 00:01:36.392000
27,11.0,1.0,11.0,63877,SOFT,True,0 days 00:01:36.398000
27,12.0,1.0,12.0,69684,SOFT,True,0 days 00:01:36.814000
27,13.0,1.0,13.0,75491,SOFT,True,0 days 00:01:36.319000
27,14.0,1.0,14.0,81298,SOFT,True,0 days 00:01:36.298000
27,15.0,1.0,15.0,87105,SOFT,True,0 days 00:01:36.702000
27,16.0,1.0,16.0,92912,SOFT,True,0 days 00:01:36.525000
27,17.0,1.0,17.0,98719,SOFT,True,0 days 00:01:36.704000
27,18.0,1.0,18.0,104526,SOFT,True,0 days 00:01:37.024000
27,19.0,1.0,19.0,110333,SOFT,True,0 days 00:01:38.582000
27,20.0,2.0,1.0,5807,MEDIUM,True,0 days 00:01:56.138000
27,21.0,2.0,2.0,11614,MEDIUM,True,0 days 00:01:35.725000
27,22.0,2.0,3.0,17421,MEDIUM,True,0 days 00:01:35.799000
27,23.0,2.0,4.0,23228,MEDIUM,True,0 days 00:01:36.243000
27,24.0,2.0,5.0,29035,MEDIUM,True,0 days 00:01:36.130000
27,25.0,2.0,6.0,34842,MEDIUM,True,0 days 00:01:36.621000
27,26.0,2.0,7.0,40649,MEDIUM,True,0 days 00:01:37.673000
27,27.0,2.0,8.0,46456,MEDIUM,True,0 days 00:01:34.928000
27,28.0,2.0,9.0,52263,MEDIUM,True,0 days 00:01:35.096000
27,29.0,2.0,10.0,58070,MEDIUM,True,0 days 00:01:35.116000
27,30.0,2.0,11.0,63877,MEDIUM,True,0 days 00:01:35.273000
27,31.0,2.0,12.0,69684,MEDIUM,True,0 days 00:01:36.431000
27,32.0,2.0,13.0,75491,MEDIUM,True,0 days 00:01:35.339000
27,33.0,2.0,14.0,81298,MEDIUM,True,0 days 00:01:35.377000
27,34.0,2.0,15.0,87105,MEDIUM,True,0 days 00:01:35.324000
27,35.0,2.0,16.0,92912,MEDIUM,True,0 days 00:01:35.560000
27,36.0,2.0,17.0,98719,MEDIUM,True,0 days 00:01:35.497000
27,37.0,2.0,18.0,104526,MEDIUM,True,0 days 00:01:35.235000
27,38.0,2.0,19.0,110333,MEDIUM,True,0 days 00:01:35.508000
27,39.0,2.0,20.0,116140,MEDIUM,True,0 days 00:01:35.564000
27,40.0,2.0,21.0,121947,MEDIUM,True,0 days 00:01:35.318000
27,41.0,2.0,22.0,127754,MEDIUM,True,0 days 00:01:35.318000
27,42.0,2.0,23.0,133561,MEDIUM,True,0 days 00:01:35.350000
27,43.0,2.0,24.0,139368,MEDIUM,True,0 days 00:01:35.316000
27,44.0,2.0,25.0,145175,MEDIUM,True,0 days 00:01:36.483000
27,45.0,2.0,26.0,150982,MEDIUM,True,0 days 00:01:36.985000
27,46.0,2.0,27.0,156789,MEDIUM,True,0 days 00:01:35.391000
27,47.0,2.0,28.0,162596,MEDIUM,True,0 days 00:01:34.921000
27,48.0,2.0,29.0,168403,MEDIUM,True,0 days 00:01:35.990000
27,49.0,2.0,30.0,174210,MEDIUM,True,0 days 00:01:37.445000
27,50.0,2.0,31.0,180017,MEDIUM,True,0 days 00:01:37.154000
27,51.0,2.0,32.0,185824,MEDIUM,True,0 days 00:01:37.792000
27,52.0,2.0,33.0,191631,MEDIUM,True,0 days 00:01:38.282000
