DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
10,GAS,1.0,1.0,1.0,5281,SUPERSOFT,True,0 days 00:02:38.457000
10,GAS,2.0,1.0,2.0,10562,SUPERSOFT,True,
10,GAS,3.0,1.0,3.0,15843,SUPERSOFT,True,
10,GAS,4.0,1.0,4.0,21124,SUPERSOFT,True,
10,GAS,5.0,1.0,5.0,26405,SUPERSOFT,True,0 days 00:01:48.638000
10,GAS,6.0,1.0,6.0,31686,SUPERSOFT,True,0 days 00:01:48.004000
10,GAS,7.0,1.0,7.0,36967,SUPERSOFT,True,0 days 00:02:15.913000
10,GAS,8.0,1.0,8.0,42248,SUPERSOFT,True,0 days 00:02:10.115000
10,GAS,9.0,1.0,9.0,47529,SUPERSOFT,True,0 days 00:01:46.424000
10,GAS,10.0,1.0,10.0,52810,SUPERSOFT,True,0 days 00:01:47.060000
10,GAS,11.0,1.0,11.0,58091,SUPERSOFT,True,0 days 00:01:46.987000
10,GAS,12.0,1.0,12.0,63372,SUPERSOFT,True,0 days 00:01:47.176000
10,GAS,13.0,1.0,13.0,68653,SUPERSOFT,True,0 days 00:01:47.675000
10,GAS,14.0,1.0,14.0,73934,SUPERSOFT,True,0 days 00:01:48.278000
10,GAS,15.0,1.0,15.0,79215,SUPERSOFT,True,0 days 00:01:47.714000
10,GAS,16.0,1.0,16.0,84496,SUPERSOFT,True,0 days 00:01:47.571000
10,GAS,17.0,1.0,17.0,89777,SUPERSOFT,True,0 days 00:01:48.571000
10,GAS,18.0,1.0,18.0,95058,SUPERSOFT,True,0 days 00:01:47.901000
10,GAS,19.0,1.0,19.0,100339,SUPERSOFT,True,0 days 00:01:46.779000
10,GAS,20.0,1.0,20.0,105620,SUPERSOFT,True,0 days 00:01:46.801000
10,GAS,21.0,1.0,21.0,110901,SUPERSOFT,True,0 days 00:01:46.346000
10,GAS,22.0,1.0,22.0,116182,SUPERSOFT,True,0 days 00:01:46.330000
10,GAS,23.0,1.0,23.0,121463,SUPERSOFT,True,0 days 00:01:46.147000
10,GAS,24.0,1.0,24.0,126744,SUPERSOFT,True,0 days 00:01:47.183000
10,GAS,25.0,1.0,25.0,132025,SUPERSOFT,True,0 days 00:01:48.396000
10,GAS,26.0,1.0,26.0,137306,SUPERSOFT,True,0 days 00:01:46.986000
10,GAS,27.0,1.0,27.0,142587,SUPERSOFT,True,0 days 00:01:46.386000
10,GAS,28.0,1.0,28.0,147868,SUPERSOFT,True,0 days 00:01:45.169000
10,GAS,29.0,1.0,29.0,153149,SUPERSOFT,True,0 days 00:01:46.692000
10,GAS,30.0,2.0,1.0,5281,ULTRASOFT,True,0 days 00:02:06.614000
10,GAS,31.0,2.0,2.0,10562,ULTRASOFT,True,0 days 00:01:45.816000
10,GAS,32.0,2.0,3.0,15843,ULTRASOFT,True,0 days 00:01:45.746000
10,GAS,33.0,2.0,4.0,21124,ULTRASOFT,True,0 days 00:01:45.458000
10,GAS,34.0,2.0,5.0,26405,ULTRASOFT,True,0 days 00:01:47.027000
10,GAS,35.0,2.0,6.0,31686,ULTRASOFT,True,0 days 00:01:44.569000
10,GAS,36.0,2.0,7.0,36967,ULTRASOFT,True,0 days 00:01:44.517000
10,GAS,37.0,2.0,8.0,42248,ULTRASOFT,True,0 days 00:01:44.751000
10,GAS,38.0,2.0,9.0,47529,ULTRASOFT,True,0 days 00:01:44.455000
10,GAS,39.0,2.0,10.0,52810,ULTRASOFT,True,0 days 00:01:44.455000
10,GAS,40.0,2.0,11.0,58091,ULTRASOFT,True,0 days 00:01:44.919000
10,GAS,41.0,2.0,12.0,63372,ULTRASOFT,True,0 days 00:01:44.088000
10,GAS,42.0,2.0,13.0,68653,ULTRASOFT,True,0 days 00:01:43.988000
10,GAS,43.0,2.0,14.0,73934,ULTRASOFT,True,0 days 00:01:44.078000
10,GAS,44.0,2.0,15.0,79215,ULTRASOFT,True,0 days 00:01:46.200000
10,GAS,45.0,2.0,16.0,84496,ULTRASOFT,True,0 days 00:01:44.584000
10,GAS,46.0,2.0,17.0,89777,ULTRASOFT,True,0 days 00:01:46.249000
10,GAS,47.0,2.0,18.0,95058,ULTRASOFT,True,
