DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
44,HAM,1.0,1.0,4.0,21804,MEDIUM,False,0 days 00:01:46.407000
44,HAM,2.0,1.0,5.0,27255,MEDIUM,False,0 days 00:01:48.693000
44,HAM,3.0,1.0,6.0,32706,MEDIUM,False,0 days 00:01:38.119000
44,HAM,4.0,1.0,7.0,38157,MEDIUM,False,0 days 00:01:38.522000
44,HAM,5.0,1.0,8.0,43608,MEDIUM,False,0 days 00:01:38.501000
44,HAM,6.0,1.0,9.0,49059,MEDIUM,False,0 days 00:01:38.524000
44,HAM,7.0,1.0,10.0,54510,MEDIUM,False,0 days 00:01:38.411000
44,HAM,8.0,1.0,11.0,59961,MEDIUM,False,0 days 00:01:38.296000
44,HAM,9.0,1.0,12.0,65412,MEDIUM,False,0 days 00:01:38.265000
44,HAM,10.0,1.0,13.0,70863,MEDIUM,False,0 days 00:01:38.594000
44,HAM,11.0,1.0,14.0,76314,MEDIUM,False,0 days 00:01:38.328000
44,HAM,12.0,1.0,15.0,81765,MEDIUM,False,0 days 00:01:38.610000
44,HAM,13.0,1.0,16.0,87216,MEDIUM,False,0 days 00:01:38.805000
44,HAM,14.0,1.0,17.0,92667,MEDIUM,False,0 days 00:01:38.603000
44,HAM,15.0,1.0,18.0,98118,MEDIUM,False,0 days 00:01:38.983000
44,HAM,16.0,1.0,19.0,103569,MEDIUM,False,0 days 00:01:38.956000
44,HAM,17.0,1.0,20.0,109020,MEDIUM,False,0 days 00:01:39.009000
44,HAM,18.0,1.0,21.0,114471,MEDIUM,False,0 days 00:01:39.145000
44,HAM,19.0,1.0,22.0,119922,MEDIUM,False,0 days 00:01:38.988000
44,HAM,20.0,1.0,23.0,125373,MEDIUM,False,0 days 00:01:39.296000
44,HAM,21.0,1.0,24.0,130824,MEDIUM,False,0 days 00:01:39.378000
44,HAM,22.0,1.0,25.0,136275,MEDIUM,False,0 days 00:01:44.331000
44,HAM,23.0,2.0,1.0,5451,HARD,True,0 days 00:01:55.832000
44,HAM,24.0,2.0,2.0,10902,HARD,True,0 days 00:01:36.877000
44,HAM,25.0,2.0,3.0,16353,HARD,True,0 days 00:01:36.870000
44,HAM,26.0,2.0,4.0,21804,HARD,True,0 days 00:01:36.882000
44,HAM,27.0,2.0,5.0,27255,HARD,True,0 days 00:01:37.112000
44,HAM,28.0,2.0,6.0,32706,HARD,True,0 days 00:01:36.822000
44,HAM,29.0,2.0,7.0,38157,HARD,True,0 days 00:01:37.511000
44,HAM,30.0,2.0,8.0,43608,HARD,True,0 days 00:01:37.347000
44,HAM,31.0,2.0,9.0,49059,HARD,True,0 days 00:01:37.476000
44,HAM,32.0,2.0,10.0,54510,HARD,True,0 days 00:01:37.411000
44,HAM,33.0,2.0,11.0,59961,HARD,True,0 days 00:01:37.180000
44,HAM,34.0,2.0,12.0,65412,HARD,True,0 days 00:01:36.645000
44,HAM,35.0,2.0,13.0,70863,HARD,True,0 days 00:01:37.980000
44,HAM,36.0,2.0,14.0,76314,HARD,True,0 days 00:01:41.694000
44,HAM,37.0,3.0,4.0,21804,MEDIUM,False,0 days 00:01:56.038000
44,HAM,38.0,3.0,5.0,27255,MEDIUM,False,0 days 00:01:36.049000
44,HAM,39.0,3.0,6.0,32706,MEDIUM,False,0 days 00:01:35.936000
44,HAM,40.0,3.0,7.0,38157,MEDIUM,False,0 days 00:01:36.023000
44,HAM,41.0,3.0,8.0,43608,MEDIUM,False,0 days 00:01:36.242000
44,HAM,42.0,3.0,9.0,49059,MEDIUM,False,0 days 00:01:36.383000
44,HAM,43.0,3.0,10.0,54510,MEDIUM,False,0 days 00:01:36.307000
44,HAM,44.0,3.0,11.0,59961,MEDIUM,False,0 days 00:01:36.590000
44,HAM,45.0,3.0,12.0,65412,MEDIUM,False,0 days 00:01:36.272000
44,HAM,46.0,3.0,13.0,70863,MEDIUM,False,0 days 00:01:36.467000
44,HAM,47.0,3.0,14.0,76314,MEDIUM,False,0 days 00:01:35.892000
44,HAM,48.0,3.0,15.0,81765,MEDIUM,False,0 days 00:01:36.541000
44,HAM,49.0,3.0,16.0,87216,MEDIUM,False,0 days 00:01:36.468000
44,HAM,50.0,3.0,17.0,92667,MEDIUM,False,0 days 00:01:36.450000
44,HAM,51.0,3.0,18.0,98118,MEDIUM,False,0 days 00:01:37.384000
44,HAM,52.0,3.0,19.0,103569,MEDIUM,False,0 days 00:01:36.889000
44,HAM,53.0,3.0,20.0,109020,MEDIUM,False,0 days 00:01:36.765000
44,HAM,54.0,3.0,21.0,114471,MEDIUM,False,0 days 00:01:36.266000
44,HAM,55.0,3.0,22.0,119922,MEDIUM,False,0 days 00:01:36.358000
44,HAM,56.0,3.0,23.0,125373,MEDIUM,False,0 days 00:01:36.627000
