DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
3,RIC,1.0,1.0,1.0,4940,MEDIUM,True,4940,0 days 00:02:02.741000
3,RIC,2.0,1.0,2.0,9880,MEDIUM,True,9880,0 days 00:01:52.791000
3,RIC,3.0,1.0,3.0,14820,MEDIUM,True,14820,0 days 00:01:49.614000
3,RIC,4.0,1.0,4.0,19760,MEDIUM,True,19760,0 days 00:01:49.404000
3,RIC,5.0,1.0,5.0,24700,MEDIUM,True,24700,0 days 00:01:50.190000
3,RIC,6.0,1.0,6.0,29640,MEDIUM,True,29640,0 days 00:01:49.688000
3,RIC,7.0,1.0,7.0,34580,MEDIUM,True,34580,0 days 00:01:49.128000
3,RIC,8.0,1.0,8.0,39520,MEDIUM,True,39520,0 days 00:01:48.605000
3,RIC,9.0,1.0,9.0,44460,MEDIUM,True,44460,0 days 00:01:49.506000
3,RIC,10.0,1.0,10.0,49400,MEDIUM,True,49400,0 days 00:01:52.292000
3,RIC,11.0,1.0,11.0,54340,MEDIUM,True,54340,0 days 00:01:48.417000
3,RIC,12.0,1.0,12.0,59280,MEDIUM,True,59280,0 days 00:01:48.291000
3,RIC,13.0,1.0,13.0,64220,MEDIUM,True,64220,0 days 00:01:48.633000
3,RIC,14.0,1.0,14.0,69160,MEDIUM,True,69160,0 days 00:01:49.279000
3,RIC,15.0,1.0,15.0,74100,MEDIUM,True,74100,0 days 00:01:49.707000
3,RIC,16.0,1.0,16.0,79040,MEDIUM,True,79040,0 days 00:01:48.106000
3,RIC,17.0,1.0,17.0,83980,MEDIUM,True,83980,0 days 00:01:48.687000
3,RIC,18.0,1.0,18.0,88920,MEDIUM,True,88920,0 days 00:01:49.770000
3,RIC,19.0,1.0,19.0,93860,MEDIUM,True,93860,0 days 00:01:48.015000
3,RIC,20.0,1.0,20.0,98800,MEDIUM,True,98800,0 days 00:01:48.722000
3,RIC,21.0,1.0,21.0,103740,MEDIUM,True,103740,0 days 00:01:48.025000
3,RIC,22.0,1.0,22.0,108680,MEDIUM,True,108680,0 days 00:01:48.391000
3,RIC,23.0,1.0,23.0,113620,MEDIUM,True,113620,0 days 00:01:48.679000
3,RIC,24.0,1.0,24.0,118560,MEDIUM,True,118560,0 days 00:01:48.567000
3,RIC,25.0,1.0,25.0,123500,MEDIUM,True,123500,0 days 00:01:48.634000
3,RIC,26.0,1.0,26.0,128440,MEDIUM,True,128440,0 days 00:01:48.918000
3,RIC,27.0,1.0,27.0,133380,MEDIUM,True,133380,0 days 00:01:48.416000
3,RIC,28.0,1.0,28.0,138320,MEDIUM,True,138320,0 days 00:01:48.508000
3,RIC,29.0,1.0,29.0,143260,MEDIUM,True,143260,0 days 00:01:50.207000
3,RIC,30.0,1.0,30.0,148200,MEDIUM,True,148200,0 days 00:01:48.710000
3,RIC,31.0,1.0,31.0,153140,MEDIUM,True,153140,0 days 00:01:51.705000
3,RIC,32.0,1.0,32.0,158080,MEDIUM,True,158080,0 days 00:01:49.013000
3,RIC,33.0,1.0,33.0,163020,MEDIUM,True,163020,0 days 00:01:54.035000
3,RIC,34.0,1.0,34.0,167960,MEDIUM,True,167960,0 days 00:02:29.217000
3,RIC,35.0,2.0,1.0,4940,HARD,True,172900,0 days 00:02:13.316000
3,RIC,36.0,2.0,2.0,9880,HARD,True,177840,
3,RIC,37.0,2.0,3.0,14820,HARD,True,182780,
3,RIC,38.0,2.0,4.0,19760,HARD,True,187720,0 days 00:01:58.951000
3,RIC,39.0,2.0,5.0,24700,HARD,True,192660,0 days 00:02:11.454000
3,RIC,40.0,2.0,6.0,29640,HARD,True,197600,
3,RIC,41.0,2.0,7.0,34580,HARD,True,202540,0 days 00:01:52.720000
3,RIC,42.0,2.0,8.0,39520,HARD,True,207480,0 days 00:01:47.808000
3,RIC,43.0,2.0,9.0,44460,HARD,True,212420,0 days 00:01:49.289000
3,RIC,44.0,2.0,10.0,49400,HARD,True,217360,0 days 00:02:14.886000
3,RIC,45.0,2.0,11.0,54340,HARD,True,222300,
3,RIC,46.0,2.0,12.0,59280,HARD,True,227240,
3,RIC,47.0,2.0,13.0,64220,HARD,True,232180,
3,RIC,48.0,2.0,14.0,69160,HARD,True,237120,0 days 00:01:53.831000
3,RIC,49.0,2.0,15.0,74100,HARD,True,242060,0 days 00:01:49.076000
3,RIC,50.0,2.0,16.0,79040,HARD,True,247000,0 days 00:02:10.554000
3,RIC,51.0,2.0,17.0,83980,HARD,True,251940,
3,RIC,52.0,2.0,18.0,88920,HARD,True,256880,0 days 00:01:51.264000
3,RIC,53.0,2.0,19.0,93860,HARD,True,261820,0 days 00:01:46.870000
3,RIC,54.0,2.0,20.0,98800,HARD,True,266760,0 days 00:01:46.797000
3,RIC,55.0,2.0,21.0,103740,HARD,True,271700,0 days 00:01:45.915000
3,RIC,56.0,2.0,22.0,108680,HARD,True,276640,0 days 00:01:46.211000
3,RIC,57.0,2.0,23.0,113620,HARD,True,281580,0 days 00:01:47.001000
3,RIC,58.0,2.0,24.0,118560,HARD,True,286520,0 days 00:01:47.657000
3,RIC,59.0,2.0,25.0,123500,HARD,True,291460,0 days 00:01:47.371000
3,RIC,60.0,2.0,26.0,128440,HARD,True,296400,0 days 00:01:47.992000
3,RIC,61.0,2.0,27.0,133380,HARD,True,301340,0 days 00:01:54.336000
