DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
35,SIR,1.0,,,0,nan,True,0 days 00:02:00.783000
35,SIR,2.0,1.0,1.0,4361,SUPERSOFT,True,0 days 00:02:07.221000
35,SIR,3.0,1.0,2.0,8722,SUPERSOFT,True,0 days 00:02:03.905000
35,SIR,4.0,1.0,3.0,13083,SUPERSOFT,True,0 days 00:01:56.999000
35,SIR,5.0,1.0,4.0,17444,SUPERSOFT,True,0 days 00:01:23.808000
35,SIR,6.0,1.0,5.0,21805,SUPERSOFT,True,0 days 00:01:20.466000
35,SIR,7.0,1.0,6.0,26166,SUPERSOFT,True,0 days 00:01:19.888000
35,SIR,8.0,1.0,7.0,30527,SUPERSOFT,True,0 days 00:01:19.168000
35,SIR,9.0,1.0,8.0,34888,SUPERSOFT,True,0 days 00:01:18.459000
35,SIR,10.0,1.0,9.0,39249,SUPERSOFT,True,0 days 00:01:18.463000
35,SIR,11.0,1.0,10.0,43610,SUPERSOFT,True,0 days 00:01:18.774000
35,SIR,12.0,1.0,11.0,47971,SUPERSOFT,True,0 days 00:01:19.096000
35,SIR,13.0,1.0,12.0,52332,SUPERSOFT,True,0 days 00:01:18.696000
35,SIR,14.0,1.0,13.0,56693,SUPERSOFT,True,0 days 00:01:18.260000
35,SIR,15.0,1.0,14.0,61054,SUPERSOFT,True,0 days 00:01:18.552000
35,SIR,16.0,1.0,15.0,65415,SUPERSOFT,True,0 days 00:01:18.385000
35,SIR,17.0,1.0,16.0,69776,SUPERSOFT,True,0 days 00:01:18.489000
35,SIR,18.0,1.0,17.0,74137,SUPERSOFT,True,0 days 00:01:18.162000
35,SIR,19.0,1.0,18.0,78498,SUPERSOFT,True,0 days 00:01:18.381000
35,SIR,20.0,1.0,19.0,82859,SUPERSOFT,True,0 days 00:01:18.397000
35,SIR,21.0,1.0,20.0,87220,SUPERSOFT,True,0 days 00:01:19.480000
35,SIR,22.0,1.0,21.0,91581,SUPERSOFT,True,0 days 00:01:18.131000
35,SIR,23.0,1.0,22.0,95942,SUPERSOFT,True,0 days 00:01:18.089000
35,SIR,24.0,1.0,23.0,100303,SUPERSOFT,True,0 days 00:01:17.830000
35,SIR,25.0,1.0,24.0,104664,SUPERSOFT,True,0 days 00:01:17.806000
35,SIR,26.0,1.0,25.0,109025,SUPERSOFT,True,0 days 00:01:35.145000
35,SIR,27.0,2.0,1.0,4361,ULTRASOFT,True,0 days 00:01:22.124000
35,SIR,28.0,2.0,2.0,8722,ULTRASOFT,True,0 days 00:01:17.777000
35,SIR,29.0,2.0,3.0,13083,ULTRASOFT,True,0 days 00:01:17.458000
35,SIR,30.0,2.0,4.0,17444,ULTRASOFT,True,0 days 00:01:18.712000
35,SIR,31.0,2.0,5.0,21805,ULTRASOFT,True,0 days 00:01:19.364000
35,SIR,32.0,2.0,6.0,26166,ULTRASOFT,True,0 days 00:01:21.304000
35,SIR,33.0,2.0,7.0,30527,ULTRASOFT,True,0 days 00:01:17.869000
35,SIR,34.0,2.0,8.0,34888,ULTRASOFT,True,0 days 00:01:17.837000
35,SIR,35.0,2.0,9.0,39249,ULTRASOFT,True,0 days 00:01:17.495000
35,SIR,36.0,2.0,10.0,43610,ULTRASOFT,True,0 days 00:01:17.351000
35,SIR,37.0,2.0,11.0,47971,ULTRASOFT,True,0 days 00:01:17.157000
35,SIR,38.0,2.0,12.0,52332,ULTRASOFT,True,0 days 00:01:17.282000
35,SIR,39.0,2.0,13.0,56693,ULTRASOFT,True,0 days 00:01:17.200000
35,SIR,40.0,2.0,14.0,61054,ULTRASOFT,True,0 days 00:01:17.129000
35,SIR,41.0,2.0,15.0,65415,ULTRASOFT,True,0 days 00:01:16.957000
35,SIR,42.0,2.0,16.0,69776,ULTRASOFT,True,0 days 00:01:16.952000
35,SIR,43.0,2.0,17.0,74137,ULTRASOFT,True,0 days 00:01:16.824000
35,SIR,44.0,2.0,18.0,78498,ULTRASOFT,True,0 days 00:01:16.769000
35,SIR,45.0,2.0,19.0,82859,ULTRASOFT,True,0 days 00:01:16.808000
35,SIR,46.0,2.0,20.0,87220,ULTRASOFT,True,0 days 00:01:16.553000
35,SIR,47.0,2.0,21.0,91581,ULTRASOFT,True,0 days 00:01:16.531000
35,SIR,48.0,2.0,22.0,95942,ULTRASOFT,True,0 days 00:01:16.513000
35,SIR,49.0,2.0,23.0,100303,ULTRASOFT,True,0 days 00:01:16.648000
35,SIR,50.0,2.0,24.0,104664,ULTRASOFT,True,0 days 00:01:16.712000
35,SIR,51.0,2.0,25.0,109025,ULTRASOFT,True,0 days 00:01:16.542000
35,SIR,52.0,2.0,26.0,113386,ULTRASOFT,True,0 days 00:01:16.437000
35,SIR,53.0,2.0,27.0,117747,ULTRASOFT,True,0 days 00:01:15.924000
35,SIR,54.0,2.0,28.0,122108,ULTRASOFT,True,0 days 00:01:16.319000
35,SIR,55.0,2.0,29.0,126469,ULTRASOFT,True,0 days 00:01:16.480000
35,SIR,56.0,2.0,30.0,130830,ULTRASOFT,True,0 days 00:01:16.406000
35,SIR,57.0,2.0,31.0,135191,ULTRASOFT,True,0 days 00:01:17.774000
35,SIR,58.0,2.0,32.0,139552,ULTRASOFT,True,0 days 00:01:16.801000
35,SIR,59.0,2.0,33.0,143913,ULTRASOFT,True,0 days 00:01:16.328000
35,SIR,60.0,2.0,34.0,148274,ULTRASOFT,True,0 days 00:01:16.499000
35,SIR,61.0,2.0,35.0,152635,ULTRASOFT,True,0 days 00:01:18.119000
35,SIR,62.0,2.0,36.0,156996,ULTRASOFT,True,0 days 00:01:19.094000
35,SIR,63.0,2.0,37.0,161357,ULTRASOFT,True,0 days 00:01:16.211000
35,SIR,64.0,2.0,38.0,165718,ULTRASOFT,True,0 days 00:01:16.578000
35,SIR,65.0,2.0,39.0,170079,ULTRASOFT,True,0 days 00:01:16.521000
35,SIR,66.0,2.0,40.0,174440,ULTRASOFT,True,0 days 00:01:22.310000
35,SIR,67.0,2.0,41.0,178801,ULTRASOFT,True,0 days 00:01:20.563000
35,SIR,68.0,2.0,42.0,183162,ULTRASOFT,True,0 days 00:01:19.636000
