DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
4,NOR,1.0,1.0,4.0,21124,SOFT,False,5281,0 days 00:01:50.507000
4,NOR,2.0,1.0,5.0,26405,SOFT,False,10562,0 days 00:01:45.289000
4,NOR,3.0,1.0,6.0,31686,SOFT,False,15843,0 days 00:01:45.062000
4,NOR,4.0,1.0,7.0,36967,SOFT,False,21124,0 days 00:01:45.351000
4,NOR,5.0,1.0,8.0,42248,SOFT,False,26405,0 days 00:01:45.416000
4,NOR,6.0,1.0,9.0,47529,SOFT,False,31686,0 days 00:01:45.214000
4,NOR,7.0,1.0,10.0,52810,SOFT,False,36967,0 days 00:01:45.228000
4,NOR,8.0,1.0,11.0,58091,SOFT,False,42248,0 days 00:01:48.001000
4,NOR,9.0,2.0,1.0,5281,HARD,True,47529,0 days 00:02:07.038000
4,NOR,10.0,2.0,2.0,10562,HARD,True,52810,0 days 00:01:44.389000
4,NOR,11.0,2.0,3.0,15843,HARD,True,58091,0 days 00:01:45.114000
4,NOR,12.0,2.0,4.0,21124,HARD,True,63372,0 days 00:01:44.992000
4,NOR,13.0,2.0,5.0,26405,HARD,True,68653,0 days 00:01:45.386000
4,NOR,14.0,2.0,6.0,31686,HARD,True,73934,0 days 00:01:45.016000
4,NOR,15.0,2.0,7.0,36967,HARD,True,79215,0 days 00:01:45.338000
4,NOR,16.0,2.0,8.0,42248,HARD,True,84496,0 days 00:01:45.559000
4,NOR,17.0,2.0,9.0,47529,HARD,True,89777,0 days 00:01:45.195000
4,NOR,18.0,2.0,10.0,52810,HARD,True,95058,0 days 00:01:44.235000
4,NOR,19.0,2.0,11.0,58091,HARD,True,100339,0 days 00:01:45.040000
4,NOR,20.0,2.0,12.0,63372,HARD,True,105620,0 days 00:01:44.986000
4,NOR,21.0,2.0,13.0,68653,HARD,True,110901,0 days 00:01:44.908000
4,NOR,22.0,2.0,14.0,73934,HARD,True,116182,0 days 00:01:45.064000
4,NOR,23.0,2.0,15.0,79215,HARD,True,121463,0 days 00:01:44.531000
4,NOR,24.0,2.0,16.0,84496,HARD,True,126744,0 days 00:01:44.223000
4,NOR,25.0,2.0,17.0,89777,HARD,True,132025,0 days 00:01:44.537000
4,NOR,26.0,2.0,18.0,95058,HARD,True,137306,0 days 00:01:44.747000
4,NOR,27.0,2.0,19.0,100339,HARD,True,142587,0 days 00:01:44.209000
4,NOR,28.0,2.0,20.0,105620,HARD,True,147868,0 days 00:01:44.346000
4,NOR,29.0,2.0,21.0,110901,HARD,True,153149,0 days 00:01:44.448000
4,NOR,30.0,2.0,22.0,116182,HARD,True,158430,0 days 00:01:44.345000
4,NOR,31.0,2.0,23.0,121463,HARD,True,163711,0 days 00:01:44.337000
4,NOR,32.0,2.0,24.0,126744,HARD,True,168992,0 days 00:01:44.239000
4,NOR,33.0,2.0,25.0,132025,HARD,True,174273,0 days 00:01:44.159000
4,NOR,34.0,2.0,26.0,137306,HARD,True,179554,0 days 00:01:44.183000
4,NOR,35.0,2.0,27.0,142587,HARD,True,184835,0 days 00:01:43.894000
4,NOR,36.0,2.0,28.0,147868,HARD,True,190116,0 days 00:01:43.957000
4,NOR,37.0,2.0,29.0,153149,HARD,True,195397,0 days 00:01:43.819000
4,NOR,38.0,2.0,30.0,158430,HARD,True,200678,0 days 00:01:43.762000
4,NOR,39.0,2.0,31.0,163711,HARD,True,205959,0 days 00:01:43.545000
4,NOR,40.0,2.0,32.0,168992,HARD,True,211240,0 days 00:01:43.578000
4,NOR,41.0,2.0,33.0,174273,HARD,True,216521,0 days 00:01:43.403000
4,NOR,42.0,2.0,34.0,179554,HARD,True,221802,0 days 00:01:43.574000
4,NOR,43.0,2.0,35.0,184835,HARD,True,227083,0 days 00:01:43.940000
4,NOR,44.0,2.0,36.0,190116,HARD,True,232364,0 days 00:01:44.715000
4,NOR,45.0,2.0,37.0,195397,HARD,True,237645,0 days 00:01:43.849000
4,NOR,46.0,2.0,38.0,200678,HARD,True,242926,0 days 00:01:43.651000
4,NOR,47.0,2.0,39.0,205959,HARD,True,248207,0 days 00:01:43.377000
4,NOR,48.0,2.0,40.0,211240,HARD,True,253488,0 days 00:01:43.199000
4,NOR,49.0,2.0,41.0,216521,HARD,True,258769,0 days 00:01:43.308000
4,NOR,50.0,2.0,42.0,221802,HARD,True,264050,0 days 00:01:43.026000
4,NOR,51.0,2.0,43.0,227083,HARD,True,269331,0 days 00:01:43.165000
4,NOR,52.0,2.0,44.0,232364,HARD,True,274612,0 days 00:01:45.803000
4,NOR,53.0,2.0,45.0,237645,HARD,True,279893,0 days 00:01:43.963000
4,NOR,54.0,2.0,46.0,242926,HARD,True,285174,0 days 00:01:45.819000
