DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
20,MAG,1.0,1.0,1.0,5807,MEDIUM,True,0 days 00:01:44.206000
20,MAG,2.0,1.0,2.0,11614,MEDIUM,True,0 days 00:01:37.920000
20,MAG,3.0,1.0,3.0,17421,MEDIUM,True,0 days 00:01:37.315000
20,MAG,4.0,1.0,4.0,23228,MEDIUM,True,0 days 00:01:37.217000
20,MAG,5.0,1.0,5.0,29035,MEDIUM,True,0 days 00:01:37.143000
20,MAG,6.0,1.0,6.0,34842,MEDIUM,True,0 days 00:01:38.286000
20,MAG,7.0,1.0,7.0,40649,MEDIUM,True,0 days 00:01:37.436000
20,MAG,8.0,1.0,8.0,46456,MEDIUM,True,0 days 00:01:37.244000
20,MAG,9.0,1.0,9.0,52263,MEDIUM,True,0 days 00:01:37.202000
20,MAG,10.0,1.0,10.0,58070,MEDIUM,True,0 days 00:01:37.318000
20,MAG,11.0,1.0,11.0,63877,MEDIUM,True,0 days 00:01:36.991000
20,MAG,12.0,1.0,12.0,69684,MEDIUM,True,0 days 00:01:37.333000
20,MAG,13.0,1.0,13.0,75491,MEDIUM,True,0 days 00:01:37.490000
20,MAG,14.0,1.0,14.0,81298,MEDIUM,True,0 days 00:01:37.199000
20,MAG,15.0,1.0,15.0,87105,MEDIUM,True,0 days 00:01:38.582000
20,MAG,16.0,1.0,16.0,92912,MEDIUM,True,0 days 00:01:37.700000
20,MAG,17.0,1.0,17.0,98719,MEDIUM,True,0 days 00:01:40.843000
20,MAG,18.0,2.0,1.0,5807,HARD,True,0 days 00:01:56.677000
20,MAG,19.0,2.0,2.0,11614,HARD,True,0 days 00:01:36.402000
20,MAG,20.0,2.0,3.0,17421,HARD,True,0 days 00:01:36.347000
20,MAG,21.0,2.0,4.0,23228,HARD,True,0 days 00:01:36.474000
20,MAG,22.0,2.0,5.0,29035,HARD,True,0 days 00:01:36.806000
20,MAG,23.0,2.0,6.0,34842,HARD,True,0 days 00:01:37.191000
20,MAG,24.0,2.0,7.0,40649,HARD,True,0 days 00:01:36.545000
20,MAG,25.0,2.0,8.0,46456,HARD,True,0 days 00:01:36.656000
20,MAG,26.0,2.0,9.0,52263,HARD,True,0 days 00:01:36.431000
20,MAG,27.0,2.0,10.0,58070,HARD,True,0 days 00:01:36.402000
20,MAG,28.0,2.0,11.0,63877,HARD,True,0 days 00:01:37.846000
20,MAG,29.0,2.0,12.0,69684,HARD,True,0 days 00:01:36.190000
20,MAG,30.0,2.0,13.0,75491,HARD,True,0 days 00:01:36.169000
20,MAG,31.0,2.0,14.0,81298,HARD,True,0 days 00:01:37.943000
20,MAG,32.0,2.0,15.0,87105,HARD,True,0 days 00:01:38.538000
20,MAG,33.0,2.0,16.0,92912,HARD,True,0 days 00:01:36.577000
20,MAG,34.0,2.0,17.0,98719,HARD,True,0 days 00:01:36.576000
20,MAG,35.0,2.0,18.0,104526,HARD,True,0 days 00:01:35.950000
20,MAG,36.0,2.0,19.0,110333,HARD,True,0 days 00:01:36.032000
20,MAG,37.0,2.0,20.0,116140,HARD,True,0 days 00:01:37.338000
20,MAG,38.0,2.0,21.0,121947,HARD,True,0 days 00:01:36.103000
20,MAG,39.0,2.0,22.0,127754,HARD,True,0 days 00:01:36.226000
20,MAG,40.0,2.0,23.0,133561,HARD,True,0 days 00:01:35.927000
20,MAG,41.0,2.0,24.0,139368,HARD,True,0 days 00:01:36.209000
20,MAG,42.0,2.0,25.0,145175,HARD,True,0 days 00:01:36.150000
20,MAG,43.0,2.0,26.0,150982,HARD,True,0 days 00:01:35.959000
20,MAG,44.0,2.0,27.0,156789,HARD,True,0 days 00:01:36.235000
20,MAG,45.0,2.0,28.0,162596,HARD,True,0 days 00:01:37.950000
20,MAG,46.0,2.0,29.0,168403,HARD,True,0 days 00:01:36.827000
20,MAG,47.0,2.0,30.0,174210,HARD,True,0 days 00:01:38.974000
20,MAG,48.0,3.0,1.0,5807,SOFT,True,0 days 00:01:57.551000
20,MAG,49.0,3.0,2.0,11614,SOFT,True,0 days 00:01:31.732000
20,MAG,50.0,3.0,3.0,17421,SOFT,True,0 days 00:01:33.807000
20,MAG,51.0,3.0,4.0,23228,SOFT,True,0 days 00:01:33.223000
20,MAG,52.0,3.0,5.0,29035,SOFT,True,0 days 00:01:35.653000
