DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
7,RAI,1.0,1.0,1.0,5793,MEDIUM,True,0 days 00:01:37.442000
7,RAI,2.0,1.0,2.0,11586,MEDIUM,True,0 days 00:01:28.920000
7,RAI,3.0,1.0,3.0,17379,MEDIUM,True,0 days 00:01:27.777000
7,RAI,4.0,1.0,4.0,23172,MEDIUM,True,0 days 00:01:28.612000
7,RAI,5.0,1.0,5.0,28965,MEDIUM,True,0 days 00:01:28.658000
7,RAI,6.0,1.0,6.0,34758,MEDIUM,True,0 days 00:01:27.787000
7,RAI,7.0,1.0,7.0,40551,MEDIUM,True,0 days 00:01:28.554000
7,RAI,8.0,1.0,8.0,46344,MEDIUM,True,0 days 00:01:28.326000
7,RAI,9.0,1.0,9.0,52137,MEDIUM,True,0 days 00:01:26.205000
7,RAI,10.0,1.0,10.0,57930,MEDIUM,True,0 days 00:01:26.406000
7,RAI,11.0,1.0,11.0,63723,MEDIUM,True,0 days 00:01:26.825000
7,RAI,12.0,1.0,12.0,69516,MEDIUM,True,0 days 00:01:26.243000
7,RAI,13.0,1.0,13.0,75309,MEDIUM,True,0 days 00:01:26.672000
7,RAI,14.0,1.0,14.0,81102,MEDIUM,True,0 days 00:01:26.477000
7,RAI,15.0,1.0,15.0,86895,MEDIUM,True,0 days 00:01:27.418000
7,RAI,16.0,1.0,16.0,92688,MEDIUM,True,0 days 00:01:26.451000
7,RAI,17.0,1.0,17.0,98481,MEDIUM,True,0 days 00:01:26.510000
7,RAI,18.0,1.0,18.0,104274,MEDIUM,True,0 days 00:01:26.831000
7,RAI,19.0,1.0,19.0,110067,MEDIUM,True,0 days 00:01:31.093000
7,RAI,20.0,2.0,20.0,115860,MEDIUM,False,0 days 00:01:54.850000
7,RAI,21.0,2.0,21.0,121653,MEDIUM,False,0 days 00:01:27.889000
7,RAI,22.0,2.0,22.0,127446,MEDIUM,False,0 days 00:01:26.828000
7,RAI,23.0,2.0,23.0,133239,MEDIUM,False,0 days 00:01:26.911000
7,RAI,24.0,2.0,24.0,139032,MEDIUM,False,0 days 00:01:26.516000
7,RAI,25.0,2.0,25.0,144825,MEDIUM,False,0 days 00:01:26.439000
7,RAI,26.0,2.0,26.0,150618,MEDIUM,False,0 days 00:01:30.552000
7,RAI,27.0,3.0,1.0,5793,SOFT,True,0 days 00:01:54.053000
7,RAI,28.0,3.0,2.0,11586,SOFT,True,0 days 00:01:32.156000
7,RAI,29.0,3.0,3.0,17379,SOFT,True,0 days 00:01:32.525000
7,RAI,30.0,3.0,4.0,23172,SOFT,True,0 days 00:01:41.557000
7,RAI,31.0,3.0,5.0,28965,SOFT,True,0 days 00:01:24.863000
7,RAI,32.0,3.0,6.0,34758,SOFT,True,0 days 00:01:25.221000
7,RAI,33.0,3.0,7.0,40551,SOFT,True,0 days 00:01:26.332000
7,RAI,34.0,3.0,8.0,46344,SOFT,True,0 days 00:01:26.628000
7,RAI,35.0,3.0,9.0,52137,SOFT,True,0 days 00:01:25.868000
7,RAI,36.0,3.0,10.0,57930,SOFT,True,0 days 00:01:25.888000
7,RAI,37.0,3.0,11.0,63723,SOFT,True,0 days 00:01:25.744000
7,RAI,38.0,3.0,12.0,69516,SOFT,True,0 days 00:01:25.728000
7,RAI,39.0,3.0,13.0,75309,SOFT,True,0 days 00:01:25.374000
7,RAI,40.0,3.0,14.0,81102,SOFT,True,0 days 00:01:25.338000
7,RAI,41.0,3.0,15.0,86895,SOFT,True,0 days 00:01:25.293000
7,RAI,42.0,3.0,16.0,92688,SOFT,True,0 days 00:01:24.958000
7,RAI,43.0,3.0,17.0,98481,SOFT,True,0 days 00:01:25.048000
7,RAI,44.0,3.0,18.0,104274,SOFT,True,0 days 00:01:25.266000
7,RAI,45.0,3.0,19.0,110067,SOFT,True,0 days 00:01:24.642000
7,RAI,46.0,3.0,20.0,115860,SOFT,True,0 days 00:01:24.588000
7,RAI,47.0,3.0,21.0,121653,SOFT,True,0 days 00:01:26.637000
7,RAI,48.0,3.0,22.0,127446,SOFT,True,0 days 00:01:25.725000
7,RAI,49.0,3.0,23.0,133239,SOFT,True,0 days 00:01:24.483000
7,RAI,50.0,3.0,24.0,139032,SOFT,True,0 days 00:01:25.233000
7,RAI,51.0,3.0,25.0,144825,SOFT,True,0 days 00:01:25.106000
7,RAI,52.0,3.0,26.0,150618,SOFT,True,0 days 00:01:24.419000
