Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
55,1.0,1.0,1.0,4309,SOFT,True,0 days 00:01:25.639000
55,2.0,1.0,2.0,8618,SOFT,True,0 days 00:01:16.183000
55,3.0,1.0,3.0,12927,SOFT,True,0 days 00:01:15.667000
55,4.0,1.0,4.0,17236,SOFT,True,0 days 00:01:14.922000
55,5.0,1.0,5.0,21545,SOFT,True,0 days 00:01:14.859000
55,6.0,1.0,6.0,25854,SOFT,True,0 days 00:01:15.622000
55,7.0,1.0,7.0,30163,SOFT,True,0 days 00:01:15.898000
55,8.0,1.0,8.0,34472,SOFT,True,0 days 00:01:16.239000
55,9.0,1.0,9.0,38781,SOFT,True,0 days 00:01:14.494000
55,10.0,1.0,10.0,43090,SOFT,True,0 days 00:01:14.963000
55,11.0,1.0,11.0,47399,SOFT,True,0 days 00:01:15.128000
55,12.0,1.0,12.0,51708,SOFT,True,0 days 00:01:15.063000
55,13.0,1.0,13.0,56017,SOFT,True,0 days 00:01:15.036000
55,14.0,1.0,14.0,60326,SOFT,True,0 days 00:01:15.100000
55,15.0,1.0,15.0,64635,SOFT,True,0 days 00:01:15.077000
55,16.0,1.0,16.0,68944,SOFT,True,0 days 00:01:15.276000
55,17.0,1.0,17.0,73253,SOFT,True,0 days 00:01:15.288000
55,18.0,1.0,18.0,77562,SOFT,True,0 days 00:01:15.423000
55,19.0,1.0,19.0,81871,SOFT,True,0 days 00:01:14.933000
55,20.0,1.0,20.0,86180,SOFT,True,0 days 00:01:15.231000
55,21.0,1.0,21.0,90489,SOFT,True,0 days 00:01:15.174000
55,22.0,1.0,22.0,94798,SOFT,True,0 days 00:01:14.939000
55,23.0,1.0,23.0,99107,SOFT,True,0 days 00:01:15.096000
55,24.0,1.0,24.0,103416,SOFT,True,0 days 00:01:15.200000
55,25.0,1.0,25.0,107725,SOFT,True,0 days 00:01:15.079000
55,26.0,1.0,26.0,112034,SOFT,True,0 days 00:01:15.299000
55,27.0,1.0,27.0,116343,SOFT,True,0 days 00:01:15.217000
55,28.0,1.0,28.0,120652,SOFT,True,0 days 00:01:15.131000
55,29.0,1.0,29.0,124961,SOFT,True,0 days 00:01:18.997000
55,30.0,2.0,1.0,4309,MEDIUM,True,0 days 00:01:31.513000
55,31.0,2.0,2.0,8618,MEDIUM,True,0 days 00:01:13.488000
55,32.0,2.0,3.0,12927,MEDIUM,True,0 days 00:01:13.911000
55,33.0,2.0,4.0,17236,MEDIUM,True,0 days 00:01:14.002000
55,34.0,2.0,5.0,21545,MEDIUM,True,0 days 00:01:13.938000
55,35.0,2.0,6.0,25854,MEDIUM,True,0 days 00:01:13.882000
55,36.0,2.0,7.0,30163,MEDIUM,True,0 days 00:01:13.804000
55,37.0,2.0,8.0,34472,MEDIUM,True,0 days 00:01:14.009000
55,38.0,2.0,9.0,38781,MEDIUM,True,0 days 00:01:14.147000
55,39.0,2.0,10.0,43090,MEDIUM,True,0 days 00:01:15.056000
55,40.0,2.0,11.0,47399,MEDIUM,True,0 days 00:01:13.772000
55,41.0,2.0,12.0,51708,MEDIUM,True,0 days 00:01:15.375000
55,42.0,2.0,13.0,56017,MEDIUM,True,0 days 00:01:13.735000
55,43.0,2.0,14.0,60326,MEDIUM,True,0 days 00:01:13.795000
55,44.0,2.0,15.0,64635,MEDIUM,True,0 days 00:01:13.986000
55,45.0,2.0,16.0,68944,MEDIUM,True,0 days 00:01:13.987000
55,46.0,2.0,17.0,73253,MEDIUM,True,0 days 00:01:14.161000
55,47.0,2.0,18.0,77562,MEDIUM,True,0 days 00:01:13.747000
55,48.0,2.0,19.0,81871,MEDIUM,True,0 days 00:01:16.410000
55,49.0,2.0,20.0,86180,MEDIUM,True,0 days 00:01:14.242000
55,50.0,2.0,21.0,90489,MEDIUM,True,0 days 00:01:14.134000
55,51.0,2.0,22.0,94798,MEDIUM,True,0 days 00:01:13.302000
55,52.0,2.0,23.0,99107,MEDIUM,True,0 days 00:01:13.913000
55,53.0,2.0,24.0,103416,MEDIUM,True,0 days 00:01:32.070000
55,54.0,2.0,25.0,107725,MEDIUM,True,0 days 00:01:41.665000
55,55.0,2.0,26.0,112034,MEDIUM,True,0 days 00:01:55.375000
55,56.0,2.0,27.0,116343,MEDIUM,True,0 days 00:01:27.773000
55,57.0,2.0,28.0,120652,MEDIUM,True,0 days 00:01:18.032000
55,58.0,2.0,29.0,124961,MEDIUM,True,0 days 00:01:19.357000
55,59.0,2.0,30.0,129270,MEDIUM,True,0 days 00:01:40.493000
55,60.0,2.0,31.0,133579,MEDIUM,True,0 days 00:01:16.288000
55,61.0,2.0,32.0,137888,MEDIUM,True,0 days 00:01:13.960000
55,62.0,2.0,33.0,142197,MEDIUM,True,0 days 00:01:13.639000
55,63.0,2.0,34.0,146506,MEDIUM,True,0 days 00:01:13.158000
55,64.0,2.0,35.0,150815,MEDIUM,True,0 days 00:01:13.340000
55,65.0,2.0,36.0,155124,MEDIUM,True,0 days 00:01:13.166000
55,66.0,2.0,37.0,159433,MEDIUM,True,0 days 00:01:26.049000
55,67.0,2.0,38.0,163742,MEDIUM,True,0 days 00:01:40.132000
55,68.0,2.0,39.0,168051,MEDIUM,True,0 days 00:01:54.407000
55,69.0,2.0,40.0,172360,MEDIUM,True,0 days 00:02:16.639000
55,70.0,2.0,41.0,176669,MEDIUM,True,0 days 00:01:16.103000
55,71.0,2.0,42.0,180978,MEDIUM,True,0 days 00:01:13.446000
