DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
18,STR,1.0,,,0,nan,True,0 days 00:02:43.592000
18,STR,2.0,2.0,2.0,14008,SOFT,False,
18,STR,3.0,2.0,3.0,21012,SOFT,False,
18,STR,4.0,2.0,4.0,28016,SOFT,False,
18,STR,5.0,2.0,5.0,35020,SOFT,False,0 days 00:01:54.092000
18,STR,6.0,2.0,6.0,42024,SOFT,False,0 days 00:01:53.723000
18,STR,7.0,2.0,7.0,49028,SOFT,False,0 days 00:01:52.748000
18,STR,8.0,2.0,8.0,56032,SOFT,False,0 days 00:01:53.039000
18,STR,9.0,2.0,9.0,63036,SOFT,False,0 days 00:01:52.224000
18,STR,10.0,2.0,10.0,70040,SOFT,False,0 days 00:01:51.976000
18,STR,11.0,2.0,11.0,77044,SOFT,False,0 days 00:01:52.992000
18,STR,12.0,2.0,12.0,84048,SOFT,False,0 days 00:01:53.092000
18,STR,13.0,2.0,13.0,91052,SOFT,False,0 days 00:01:52.069000
18,STR,14.0,2.0,14.0,98056,SOFT,False,0 days 00:01:52.270000
18,STR,15.0,2.0,15.0,105060,SOFT,False,0 days 00:01:51.713000
18,STR,16.0,2.0,16.0,112064,SOFT,False,0 days 00:01:51.672000
18,STR,17.0,2.0,17.0,119068,SOFT,False,0 days 00:01:51.983000
18,STR,18.0,2.0,18.0,126072,SOFT,False,0 days 00:01:51.818000
18,STR,19.0,2.0,19.0,133076,SOFT,False,0 days 00:01:51.748000
18,STR,20.0,2.0,20.0,140080,SOFT,False,0 days 00:01:51.366000
18,STR,21.0,2.0,21.0,147084,SOFT,False,0 days 00:01:51.286000
18,STR,22.0,2.0,22.0,154088,SOFT,False,0 days 00:01:51.323000
18,STR,23.0,2.0,23.0,161092,SOFT,False,0 days 00:01:55.687000
18,STR,24.0,3.0,1.0,7004,SUPERSOFT,True,0 days 00:02:04.658000
18,STR,25.0,3.0,2.0,14008,SUPERSOFT,True,0 days 00:01:50.365000
18,STR,26.0,3.0,3.0,21012,SUPERSOFT,True,0 days 00:01:51.321000
18,STR,27.0,3.0,4.0,28016,SUPERSOFT,True,0 days 00:01:49.855000
18,STR,28.0,3.0,5.0,35020,SUPERSOFT,True,0 days 00:01:49.753000
18,STR,29.0,3.0,6.0,42024,SUPERSOFT,True,0 days 00:01:49.794000
18,STR,30.0,3.0,7.0,49028,SUPERSOFT,True,0 days 00:01:49.964000
18,STR,31.0,3.0,8.0,56032,SUPERSOFT,True,0 days 00:01:49.934000
18,STR,32.0,3.0,9.0,63036,SUPERSOFT,True,0 days 00:01:49.916000
18,STR,33.0,3.0,10.0,70040,SUPERSOFT,True,0 days 00:01:49.937000
18,STR,34.0,3.0,11.0,77044,SUPERSOFT,True,0 days 00:01:50.907000
18,STR,35.0,3.0,12.0,84048,SUPERSOFT,True,0 days 00:01:50.206000
18,STR,36.0,3.0,13.0,91052,SUPERSOFT,True,0 days 00:01:49.522000
18,STR,37.0,3.0,14.0,98056,SUPERSOFT,True,0 days 00:01:49.365000
18,STR,38.0,3.0,15.0,105060,SUPERSOFT,True,0 days 00:01:49.309000
18,STR,39.0,3.0,16.0,112064,SUPERSOFT,True,0 days 00:01:49.287000
18,STR,40.0,3.0,17.0,119068,SUPERSOFT,True,0 days 00:01:49.434000
18,STR,41.0,3.0,18.0,126072,SUPERSOFT,True,0 days 00:01:49.586000
18,STR,42.0,3.0,19.0,133076,SUPERSOFT,True,0 days 00:01:49.661000
18,STR,43.0,3.0,20.0,140080,SUPERSOFT,True,0 days 00:01:50.068000
